optim,n_functions,time,n_relations,size_max
1,28,132.58115983009338,10,10
2,28,103.4637393951416,10,10
3,28,106.42551064491272,10,10
0,29,141.60489201545715,10,10
1,29,143.15232181549072,10,10
2,29,113.14906692504883,10,10
3,29,113.71433186531067,10,10
0,30,148.73033094406128,10,10
1,30,148.74097347259521,10,10
2,30,119.58455562591553,10,10
3,30,116.6557936668396,10,10
0,31,174.99064230918884,10,10
1,31,175.09369015693665,10,10
2,31,142.14481949806213,10,10
3,31,136.83573389053345,10,10
0,32,178.51607084274292,10,10
1,32,177.22289967536926,10,10
2,32,143.18899941444397,10,10
3,32,135.7670385837555,10,10
0,33,180.6288526058197,10,10
1,33,180.55729627609253,10,10
2,33,148.6356143951416,10,10
3,33,139.7623097896576,10,10
0,34,202.45995116233826,10,10
1,34,204.65372943878174,10,10
2,34,165.29241943359375,10,10
3,34,156.45644879341125,10,10
0,35,235.34303212165833,10,10
1,35,235.31664538383484,10,10
2,35,194.18735671043396,10,10
3,35,224.50041699409485,10,10
0,1,0.01783895492553711,20,10
1,1,0.019249916076660156,20,10
2,1,0.021771907806396484,20,10
3,1,0.01938629150390625,20,10
0,2,0.12726712226867676,20,10
1,2,0.12537193298339844,20,10
2,2,0.12811994552612305,20,10
3,2,0.13892197608947754,20,10
0,3,0.4273965358734131,20,10
1,3,0.43422651290893555,20,10
2,3,0.43300795555114746,20,10
3,3,0.4316833019256592,20,10
0,4,0.5255551338195801,20,10
1,4,0.53896164894104,20,10
2,4,0.5068933963775635,20,10
3,4,0.5040309429168701,20,10
0,5,1.3211424350738525,20,10
1,5,1.324695348739624,20,10
2,5,1.3838725090026855,20,10
3,5,1.3643238544464111,20,10
0,6,1.59855055809021,20,10
1,6,2.7626283168792725,20,10
2,6,2.3019156455993652,20,10
3,6,1.585035800933838,20,10
0,7,3.80008602142334,20,10
1,7,4.661929130554199,20,10
2,7,2.867215871810913,20,10
3,7,2.787027597427368,20,10
0,8,3.4789044857025146,20,10
1,8,3.4512386322021484,20,10
2,8,2.9326815605163574,20,10
3,8,4.9593236446380615,20,10
0,9,4.602985620498657,20,10
1,9,4.712892293930054,20,10
2,9,4.543433904647827,20,10
3,9,3.9449851512908936,20,10
0,10,6.286077499389648,20,10
1,10,5.582133531570435,20,10
2,10,4.497098207473755,20,10
3,10,4.579633474349976,20,10
0,11,6.711105823516846,20,10
1,11,6.635655403137207,20,10
2,11,5.786374807357788,20,10
3,11,5.92583155632019,20,10
0,12,8.167688369750977,20,10
1,12,7.909289360046387,20,10
2,12,6.333332538604736,20,10
3,12,6.480583906173706,20,10
0,13,8.25266408920288,20,10
1,13,8.279125928878784,20,10
2,13,6.593237400054932,20,10
3,13,6.77301287651062,20,10
0,14,9.23369574546814,20,10
1,14,9.616448402404785,20,10
2,14,7.0943028926849365,20,10
3,14,7.499811887741089,20,10
0,15,11.121363639831543,20,10
1,15,10.798164129257202,20,10
2,15,10.869885444641113,20,10
3,15,8.620222330093384,20,10
0,16,11.553871631622314,20,10
1,16,11.432453870773315,20,10
2,16,8.929176092147827,20,10
3,16,9.451731204986572,20,10
0,17,12.525410413742065,20,10
1,17,12.853912115097046,20,10
2,17,12.698306322097778,20,10
3,17,10.111188888549805,20,10
0,18,15.818442583084106,20,10
1,18,15.501856327056885,20,10
2,18,12.262097835540771,20,10
3,18,12.970356941223145,20,10
0,19,16.139037370681763,20,10
1,19,16.155030250549316,20,10
2,19,12.290587902069092,20,10
3,19,13.020375490188599,20,10
0,20,16.984700679779053,20,10
1,20,16.82157611846924,20,10
2,20,12.632571458816528,20,10
