optim,n_functions,time,n_relations,size_max
True,1,0.04656696319580078,1000,10
False,1,0.056737661361694336,1000,10
True,2,0.07218551635742188,1000,10
False,2,0.08517932891845703,1000,10
True,3,0.3768124580383301,1000,10
False,3,0.4346039295196533,1000,10
True,4,0.4080662727355957,1000,10
False,4,0.48645949363708496,1000,10
True,5,0.4488639831542969,1000,10
False,5,0.5657343864440918,1000,10
True,6,1.0013186931610107,1000,10
False,6,1.2253668308258057,1000,10
True,7,1.0676367282867432,1000,10
False,7,1.2782368659973145,1000,10
True,8,1.9757404327392578,1000,10
False,8,2.4570043087005615,1000,10
True,9,3.7668209075927734,1000,10
False,9,4.876572132110596,1000,10
True,10,3.9470877647399902,1000,10
False,10,4.557978868484497,1000,10
True,11,4.067132472991943,1000,10
False,11,4.922505855560303,1000,10
True,12,5.015470266342163,1000,10
False,12,6.093302488327026,1000,10
True,13,5.807443618774414,1000,10
False,13,7.179429531097412,1000,10
True,14,6.0421223640441895,1000,10
False,14,7.491824388504028,1000,10
True,15,9.099371433258057,1000,10
False,15,11.255009174346924,1000,10
True,16,13.036383867263794,1000,10
False,16,16.026352882385254,1000,10
True,17,13.533053874969482,1000,10
False,17,16.691649675369263,1000,10
True,18,15.728047370910645,1000,10
False,18,19.199782848358154,1000,10
True,19,20.025322437286377,1000,10
False,19,24.83611035346985,1000,10
True,20,25.23114252090454,1000,10
False,20,31.23149800300598,1000,10
True,21,27.47272753715515,1000,10
False,21,34.35344672203064,1000,10
True,22,28.51143455505371,1000,10
False,22,35.90674924850464,1000,10
True,23,32.72069811820984,1000,10
False,23,41.35465478897095,1000,10
True,24,34.23824167251587,1000,10
False,24,43.11245083808899,1000,10
True,25,42.10660409927368,1000,10
False,25,52.64230990409851,1000,10
True,26,43.44819116592407,1000,10
False,26,54.617350578308105,1000,10
True,27,47.771825313568115,1000,10
False,27,60.10727405548096,1000,10
True,28,55.35793209075928,1000,10
False,28,69.30426144599915,1000,10
True,29,63.066139459609985,1000,10
False,29,79.60820126533508,1000,10
True,30,80.29470300674438,1000,10
False,30,90.12899136543274,1000,10
True,31,75.65625023841858,1000,10
False,31,104.79475474357605,1000,10
True,32,88.97137498855591,1000,10
False,32,100.8416998386383,1000,10
True,33,77.8389675617218,1000,10
False,33,99.22649216651917,1000,10
True,34,81.50796675682068,1000,10
False,34,103.49739575386047,1000,10
True,35,93.6724500656128,1000,10
False,35,119.32175278663635,1000,10
True,36,95.38842511177063,1000,10
False,36,121.24162769317627,1000,10
True,37,119.56215715408325,1000,10
False,37,141.5365493297577,1000,10
True,38,143.45170044898987,1000,10
False,38,182.67307686805725,1000,10
True,39,143.46448278427124,1000,10
False,39,203.8812186717987,1000,10
True,40,208.75512599945068,1000,10
False,40,212.15197801589966,1000,10
True,1,0.0022935867309570312,1000,10
False,1,0.0019636154174804688,1000,10
True,2,0.019927024841308594,1000,10
False,2,0.021755218505859375,1000,10
True,3,0.184675931930542,1000,10
False,3,0.22002053260803223,1000,10
True,4,0.2145063877105713,1000,10
False,4,0.24903464317321777,1000,10
True,5,0.30434370040893555,1000,10
False,5,0.369981050491333,1000,10
True,6,0.517202615737915,1000,10
False,6,0.6229515075683594,1000,10
True,7,0.6448931694030762,1000,10
False,7,0.6808509826660156,1000,10
True,8,1.453749179840088,1000,10
False,8,1.6260509490966797,1000,10
True,9,2.1224589347839355,1000,10
False,9,2.5213654041290283,1000,10
True,10,2.779583215713501,1000,10
False,10,3.3690719604492188,1000,10
True,1,0.0014688968658447266,1000,10
False,1,0.00110626220703125,1000,10
True,2,0.03627157211303711,1000,10
False,2,0.04118061065673828,1000,10
True,3,0.3478529453277588,1000,10
False,3,0.3763773441314697,1000,10
True,4,0.5573201179504395,1000,10
False,4,0.5943412780761719,1000,10
True,5,1.5585699081420898,1000,10
False,5,1.740170955657959,1000,10
True,6,1.5925724506378174,1000,10
False,6,2.0569801330566406,1000,10
True,7,1.9550979137420654,1000,10
False,7,2.3277719020843506,1000,10
True,8,2.8940579891204834,1000,10
False,8,2.6315720081329346,1000,10
True,9,1.9634885787963867,1000,10
False,9,2.3231897354125977,1000,10
True,10,2.674441337585449,1000,10
False,10,3.416799545288086,1000,10
True,11,3.1496047973632812,1000,10
False,11,3.8866233825683594,1000,10
True,12,4.40451717376709,1000,10
False,12,4.966780424118042,1000,10
True,13,4.851381540298462,1000,10
False,13,5.330451965332031,1000,10
True,14,5.744375467300415,1000,10
False,14,7.1794023513793945,1000,10
True,15,5.853685140609741,1000,10
False,15,7.3180108070373535,1000,10
True,16,6.8536598682403564,1000,10
False,16,8.03855586051941,1000,10
True,17,8.343517541885376,1000,10
False,17,11.309462547302246,1000,10
True,18,10.01965045928955,1000,10
False,18,11.754070281982422,1000,10
True,19,11.540594339370728,1000,10
False,19,14.250251770019531,1000,10
True,20,13.96772813796997,1000,10
False,20,18.27468490600586,1000,10
